symbol,name,isin,currency,ticker
APC,APPLE ORD,US0378331005,USD,AAPL
VGEU,VANGUARD FTSE EUROPE UCITS ETF,IE00B945VV12,CHF,VEUR.AS
307,SHOPIFY CL A SUB VTG ORD,CA82509L1076,CHF,SHOP
QQQM,INVESCO NASDAQ 100 ETF,US46138G6492,CHF,QQQ
FTK,FLATEXDEGIRO N ORD,DE000FTG1111,CHF,FTK
VGEU,VANGUARD FTSE EUROPE UCITS ETF,IE00B945VV12,EUR,VEUR.AS
ABEC,ALPHABET CL C ORD,US02079K1079,USD,GOOG
SPICHA,UBS ETFSPI CHF Adis,CH0131872431,CHF,SPICHA.SW
CBMEM,Amundi MSCI Em Mrkts II  D,LU2573966905,CHF,AEEM.PA
VFEM,VANGUARD FTSE EMERG MARKET UCIT ETF,IE00B3VVMM84,CHF,VFEM.L
ETH,ETH,EX0X00ETH000,USD,ETH-USD
AHYQ,AMUNDI MSCI WORLD III UCITS DIST ETF,LU2572257124,CHF,MWRD.SW
EIMI,iSh Cor MSCI EM IMI USD A,IE00BKM4GZ66,USD,EIMI.L
CBMEM,Amundi MSCI Em Mrkts II  D,LU2573966905,USD,AEEM.PA
AHYQ,AMUNDI MSCI WORLD III UCITS DIST ETF,LU2572257124,USD,MWRD.SW
BTC,BTC,EX0X00XBT000,USD,BTC-USD
BNT,BNT,EX0X00BNT000,USD,BNT-USD
POL,POL,EX0X00POL000,USD,POL-USD
LINK,LINK,EX0X00LNK000,USD,LINK-USD
AHYQ,AMUNDI MSCI WORLD III UCITS DIST ETF,LU2572257124,EUR,MWRD.SW
AMZ,AMAZON COM ORD,US0231351067,EUR,AMZN
WOSC,SPDR MSCI World Small Cap,IE00BCBJG560,CHF,WOSC.SW
VFEM,VANGUARD FTSE EMERG MARKET UCIT ETF,IE00B3VVMM84,EUR,VFEM.L
XDEM,XTR MSCI WM UCITS 1C ETF,IE00BL25JP72,EUR,XDWD.DE
AIS MSCI WORLD,AIS MSCI WORLD --- SHS -UCITS ETF- DISTRIBUTION,LU2572257124,USD,MWRD.SW
CBMWOR,Lyxor MSCI WORLD,LU0392494562,CHF,IWDA.AS
CBMEM,Lyxor MSCI EM TRN,LU0635178014,CHF,AEEM.PA
